#      Temp          vlos          vturb         n_e
      5922.36       179043.       737753.   2.22597e+11
      6353.83      -144440.       479729.   3.00567e+11
      6138.68       36907.5       545485.   2.34121e+11
      6178.53      -102944.       729544.   2.33037e+11
      6207.79       135498.       578106.   2.85910e+11
      6259.98      -403850.       443296.   2.77090e+11
      6076.68       106700.       811671.   2.43871e+11
      5984.35       3161.93       427824.   2.18193e+11
      6121.87       65604.7       849021.   2.19375e+11
      6108.61      -97975.6       814495.   2.22940e+11
      6158.95      -23413.4       725683.   1.81213e+11
      6178.43       17012.5       894181.   2.66967e+11
      6254.86       37671.9       874244.   2.57955e+11
      6498.46       78830.3       986895.   2.58976e+11
      6051.86      -111249.       982899.   2.22697e+11
      6057.65       92140.2       704614.   2.06763e+11
      6073.39       40990.5       775064.   2.26054e+11
      6104.71       111877.       679382.   2.62043e+11
      5918.09       245190.       471906.   2.10068e+11
      6212.75      -13011.7       723440.   2.82374e+11
      6353.69      -122204.       825862.   3.84981e+11
      6058.26      -52993.4       589351.   2.83436e+11
      6036.40      -316554.       553766.   1.84365e+11
      6143.12      -509486.       533728.   2.63583e+11
      6071.76      -170477.       341135.   2.57393e+11
      6368.21      -103892.       556757.   3.73818e+11
      6325.83       176731.       675194.   3.16969e+11
      6192.85      -169218.       662392.   2.55878e+11
      5980.35       349154.   1.02372e+06   2.16062e+11
      6342.63      -86207.9   1.07461e+06   2.12967e+11
      5905.40       104714.       939448.   1.94999e+11
      5859.87      -44190.2       975700.   1.65960e+11
      5996.73      -165841.       735723.   2.11288e+11
      6074.91       396869.       658428.   2.71123e+11
      6137.74      -237967.       338181.   3.09003e+11
      5930.59       402338.       321800.   2.16655e+11
      6069.01       35242.0       438170.   3.10065e+11
      5885.93       72335.8       580274.   2.04257e+11
      5863.25       71942.7       572610.   1.51802e+11
      5827.92       97451.4       324888.   1.67122e+11
      5813.24       378508.       418214.   1.89811e+11
      5737.94       413364.       357479.   1.47853e+11
      6001.33       430787.       471861.   2.02688e+11
      6245.96       112757.       464151.   2.89276e+11
      5952.11       324247.       415066.   1.93154e+11
      6139.13       13848.9       769189.   2.57460e+11
      6104.98       2226.12       702789.   2.57836e+11
      6018.17      -29318.6       754110.   2.52816e+11
      6199.97       329439.       373908.   2.60222e+11
      6204.28       247527.       499246.   2.37905e+11
      6045.33       68067.1       585765.   2.91931e+11
      6073.26      -39197.2       909226.   2.45820e+11
      6137.40      -50457.9       495706.   2.37609e+11
      6119.49       53887.8       540782.   2.42744e+11
      6137.40      -50457.9       495706.   2.37609e+11
      6172.02       57579.5       706450.   2.99272e+11
      6166.10      -14089.9       712116.   2.85155e+11
      6104.58       134769.       671861.   2.25280e+11
      6143.03       89607.7       727693.   1.80831e+11
      6028.33       25122.9       822912.   2.40561e+11
      6108.04       77197.4       512566.   2.32096e+11
      6166.21       32334.5       828823.   2.51098e+11
      6143.03       89607.7       727693.   1.80831e+11
      6092.56      -138916.       929722.   2.14121e+11
      6064.86      -29102.0       843232.   2.38032e+11
      6092.56      -138916.       929722.   2.14121e+11
      5992.34       241101.       893544.   1.87805e+11
      6032.16       91256.0       815426.   2.05688e+11
      5840.60       99067.4       802237.   1.53314e+11
      5964.46      -46387.1       836600.   2.06183e+11
      5988.17      -14283.3       838266.   1.88032e+11
      5822.00       73059.6   1.03210e+06   1.63808e+11
      5908.88       153660.       912733.   1.59556e+11
      6000.23       64154.3       763733.   2.01420e+11
      6055.31       99754.9       726481.   2.34756e+11
      5669.37      -264868.       864737.   1.61262e+11
      5742.98       46954.4       837827.   1.67694e+11
      8960.38       169391.       644444.   3.53586e+11
      5795.97       67445.9   1.01434e+06   1.55018e+11
      5803.33      -11785.0       967624.   1.65493e+11
      6120.46       243324.       842311.   2.09448e+11
      5859.87      -44190.2       975700.   1.65960e+11
      6051.01      -108146.       688291.   2.26591e+11
      5962.80       66566.5       776264.   2.18100e+11
      5818.09       54045.3       772925.   1.82021e+11
      6059.76       282931.       925460.   2.05973e+11
      6195.09       462462.       711457.   2.07869e+11
      5885.45       243077.       912124.   1.84119e+11
      5972.01       474589.       771960.   2.68077e+11
      6054.16      -25126.1       818528.   2.48120e+11
      6341.57  -1.05704e+06       427055.   3.08076e+11
      5975.62      -80041.7       750861.   2.32530e+11
      6046.54       130991.       722416.   2.42939e+11
      6061.13       84293.0       478852.   2.33479e+11
      6183.20       47073.2       696430.   3.19029e+11
      6366.18      -77796.5       726194.   2.39872e+11
      6282.94      -355612.       689951.   2.18633e+11
      6032.87      -468023.       410223.   2.91018e+11
      6024.60       14558.8       439311.   2.05542e+11
      6183.20       47073.2       696430.   3.19029e+11
      6149.12      -83395.2       625808.   2.41251e+11
      6427.16      -22088.1       629499.   2.62743e+11
      6586.58      -47106.8       862178.   2.82378e+11
      6178.82      -84196.7       877567.   2.05265e+11
      6081.48       24993.2       808466.   2.44765e+11
      5963.60      -11589.0       930932.   1.97900e+11
      6153.92       50733.1       611268.   2.33266e+11
      5987.21      -120228.       882029.   2.16200e+11
      6079.98       36184.1       856734.   2.16189e+11
      6484.92      -61022.3       865612.   2.69396e+11
      6345.21       78906.0       786541.   2.42247e+11
      6266.79       207653.       730545.   2.67844e+11
      6193.45       225907.       535959.   3.02397e+11
      6128.69       222798.       642264.   2.93446e+11
      6128.69       222798.       642264.   2.93446e+11
      6338.58       209520.       687440.   2.62025e+11
      6215.62       14113.5       763052.   2.96116e+11
      6183.73      -36655.4       684603.   2.98616e+11
      6121.87       65604.7       849021.   2.19375e+11
      6119.75       64165.4       861917.   2.18186e+11
      6076.06       9342.82       798044.   2.21898e+11
      6278.04       52967.6       986709.   2.43830e+11
      6269.39      -99247.3       958915.   2.35216e+11
      6376.14       211633.       803532.   3.14508e+11
      6143.53       81932.5       698352.   2.38294e+11
      6131.04       284808.       592356.   2.86276e+11
      6087.47       153129.       638947.   2.53336e+11
      6333.32      -17325.0       837507.   2.40243e+11
      6224.22      -81557.5       866081.   3.09053e+11
      6476.44       62453.6       793752.   3.60999e+11
