#      Temp          vlos          vturb         n_e
      144.753       173480.       40300.8   7.41582e+10
      153.359       183834.       43496.9   8.04998e+10
      130.335       303199.       69330.6   1.31261e+11
      396.384       713338.       301447.   2.78697e+11
      143.999       421829.       87726.2   2.34183e+11
      81.4288       246213.       32656.1   1.63075e+11
      158.438       6934.39       2632.78   8.19489e+10
      144.365       168986.       62986.6   6.57057e+11
      636.792   1.28204e+06       516580.   5.83132e+11
      154.943       180353.       66468.5   6.98721e+11
      140.580       374204.       41868.9   1.14849e+11
      132.641       157604.       58796.1   5.99274e+11
      143.027       171948.       64197.5   6.34739e+11
      126.132       224149.       58328.6   3.68092e+11
      140.014       270902.       84405.7   5.87079e+11
      259.550       765999.       166835.   5.44990e+11
      304.784       911546.       197282.   6.38574e+11
      533.944       788392.       402954.   7.56688e+11
      320.261       521177.       197095.   3.02051e+11
          Inf           Inf           Inf           Inf
      224.836       245302.       62207.4   1.53551e+11
      164.963       182847.       43668.9   1.57883e+11
      501.818   2.68145e+06       331914.   2.02975e+11
      239.566       922477.       156284.   1.31721e+11
      252.402       273894.       78903.2   2.43094e+11
      143.272       193844.       60627.3   2.01304e+11
      106.872       181493.       53763.0   1.43261e+11
      273.405       306576.       170086.   1.24166e+12
      124.189       185955.       49848.2   1.78156e+11
      369.036       683486.       228512.   4.88234e+11
      204.698       279166.       56349.5   1.57162e+11
      272.467       376959.       171857.   2.03778e+12
      155.366       294591.       82602.3   2.45039e+11
      156.591       374045.       68464.9   3.47509e+11
      224.655       496733.       110407.   8.54146e+11
      176.668       288005.       93860.1   2.39219e+11
      284.390       482668.       152695.   2.62584e+11
      100.560       169656.       48435.9   1.78196e+11
      97.0562       138305.       33455.2   1.72107e+11
      165.107       570837.       82494.7   2.45794e+11
      171.794       593789.       85537.5   2.55014e+11
      1124.95   2.47890e+06       965284.   3.13894e+11
      172.483       257202.       81929.9   3.12429e+11
      457.896       865288.       328412.   3.48907e+11
      434.287       815727.       310826.   3.26614e+11
      295.439       552182.       170520.   1.87657e+11
      169.323       271950.       92728.5   5.44131e+11
      139.681       208341.       66237.5   2.34065e+11
      156.995       299617.       89904.9   5.87260e+11
      328.917       603367.       256806.   3.64542e+11
      121.751       249156.       62738.5   1.66716e+11
      108.381       196608.       42039.4   1.45209e+11
      206.283       399566.       120178.   1.48382e+11
      67.8187       136140.       26414.4   1.36050e+11
      154.396       265247.       71857.6   2.25369e+11
      188.173       350920.       97524.8   1.66751e+11
      167.892       269549.       72796.3   1.42188e+11
      121.453       259272.       60214.1   1.89917e+11
      115.001       213475.       53357.0   1.56448e+11
      169.182       101343.       135745.   1.26110e+11
      130.108       239345.       45601.8   1.52180e+11
      322.021       511202.       177933.   3.66959e+12
      276.093       458193.       160438.   5.74817e+11
      125.284       230754.       62457.1   2.66109e+11
      209.997       458747.       78574.7   1.55069e+11
      430.343       581518.       274071.   7.16099e+11
      180.109       130058.       111816.   2.45576e+11
      344.618       474379.       225353.   1.36112e+12
      254.224       456458.       148058.   1.04914e+12
      358.760       605111.       207667.   2.20118e+11
      247.084       324064.       120310.   1.51441e+12
      195.165       526176.       99707.3   3.57965e+11
      187.635       301766.       96488.7   1.87484e+11
      343.361       630740.       267186.   3.82528e+11
      327.934       599963.       255601.   3.64435e+11
      94.0490       302068.       46231.5   2.14431e+11
      428.392       797024.       334070.   4.80965e+11
      379.572   1.12974e+06       236464.   1.00400e+12
      320.233       807367.       201665.   2.62720e+11
      109.603       262467.       56423.7   1.36426e+11
      161.396       618505.       100790.   1.00948e+11
      216.455       822494.       133183.   1.14575e+11
      358.301       584336.       268226.   8.85100e+11
      94.6086       157393.       41856.2   1.04049e+11
      495.391       990574.       458175.   3.18527e+11
      303.217       629693.       186182.   2.39174e+11
      260.883       495294.       147944.   5.27983e+11
      308.851       682083.       173357.   3.78900e+11
      452.950   1.21992e+06       269300.   1.06620e+12
      243.931       823907.       135301.   1.91290e+11
      189.478       518618.       117321.   1.93682e+11
      161.765       263000.       65438.0   3.55300e+11
      156.629       278160.       64008.1   2.18855e+11
      303.194       699064.       138373.   6.25223e+11
      929.396   6.80958e+06       789913.   3.39185e+12
      666.288   8.43777e+06       384340.   6.56484e+11
      955.101   1.86048e+06       658865.   8.54288e+11
      289.667       561695.       121545.   9.86524e+11
      78.5416       183081.       27412.5   1.94906e+11
      140.423       305785.       75839.3   1.67782e+11
      116.657       201475.       61913.4   1.47985e+11
      154.074       165191.       41288.5   1.22021e+11
      187.611       582504.       75787.8   7.74373e+11
      175.636       368288.       103684.   1.87153e+11
      577.276   1.60991e+06       418732.   7.80506e+11
      207.007       344694.       118051.   3.11600e+11
      189.260       310141.       60821.4   2.32529e+11
      309.079       557376.       179832.   1.27171e+12
